,zipcode,2018-04-01,minimum,min_roi,expected,expected_roi,maximum,max_roi
0,78572.0,101902.27525935008,105783.76241645947,0.038090289419256615,128767.29718873186,0.26363515300328655,148730.09710155244,0.4595365679816424
0,94565.0,424489.33546135505,393893.9636299189,-0.07207571374716323,617949.2405365612,0.45574738612677945,875788.0612600027,1.0631568053603864
0,30349.0,130143.81076915326,176133.51139804168,0.35337601040793337,226335.17510594177,0.7391159346594746,273442.08852881345,1.1010763932050527
0,20002.0,693695.3872931409,793378.2018280617,0.1436982519429627,921744.509320491,0.32874533434223546,1043903.0008194409,0.5048435090405319
0,90046.0,1971434.0333335267,2082955.9654772307,0.05656893928889417,2753720.5632161493,0.396810908534354,3400322.015542162,0.7247962437741362
0,78130.0,218364.60900883802,261780.22392474976,0.19882166397282153,284394.2221719642,0.3023823936618489,308577.8757603766,0.41313135476036483
0,78613.0,304170.1676170916,367203.62455607863,0.2072308978648342,394046.99613086774,0.29548206261607707,422094.81450942566,0.3876930068986415
0,20009.0,1064275.4195952574,1302683.3849281787,0.22400965102021017,1369471.8010105842,0.2867644744923195,1439602.329878132,0.3526595685406425
0,75052.0,200502.4175973699,250139.23053190752,0.24756216672765313,294585.5711242852,0.46923700299636417,335956.686434322,0.6755742422465878
0,10462.0,454345.7910282251,492951.7766288046,0.08497049243751272,617743.6389930057,0.3596332379243499,743032.013848861,0.6353887909191658
0,10456.0,386117.9537276345,387422.0890673089,0.0033775568503978323,545277.0077134501,0.4122031945141964,705446.4593140675,0.8270231997854355
0,37042.0,128606.95474714464,120516.79806966217,-0.0629060589560542,149523.24458371472,0.16263731520347247,175397.4153828043,0.3638252746723909
0,77429.0,246982.40863876475,265144.8190229122,0.07353726317695637,299841.5649836152,0.21401992407549142,334760.4855271891,0.3554021412788476
0,63376.0,194420.0923741778,211820.43450502833,0.08949868256086473,246240.77024846367,0.26653972458027964,281110.2405331477,0.4458908907013964
0,60613.0,1062458.0501397653,1103541.9890099512,0.03866876331237872,1359570.466328925,0.2796462562922601,1611838.4916621437,0.5170843606014449
0,77479.0,371880.9733987448,355060.09291446215,-0.04523189323334027,408209.8887210524,0.09768963168587363,459047.4390858877,0.23439345361097483
0,30044.0,182481.31904836133,180400.09017281324,-0.011405161286654857,257297.02968311743,0.4099910666194187,335605.9099500754,0.8391247482222159
0,73099.0,162895.93441455654,127364.70079704387,-0.2181222861406022,177427.46846541826,0.08920746919244886,229791.86915852147,0.4106666933363749
0,77036.0,184273.03852286757,227750.06303041283,0.2359380669904671,248525.97978877736,0.3486833547705149,271623.48925193056,0.4740272989975315
0,77433.0,249028.0985666697,201001.48690448565,-0.19285619550006883,263689.70333685924,0.05887530304643245,324031.04788102786,0.30118267675837546
0,10463.0,742386.7294897361,993016.1533945051,0.337599547444812,1133078.2010240445,0.5262640831455082,1263483.027376671,0.7019202757639532
